Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Att,Yds,TD,Rec,Yds,TD,College/Univ,
1,2019,1,25,Marquise Brown\BrowMa04,WR,22,BAL,2019,2019,0,0,0,8,14,11,,,,46,584,7,Oklahoma,College Stats
2,2019,1,32,N'Keal Harry\HarrNK00,WR,21,NWE,2019,2019,0,0,0,1,7,5,5,49,0,12,105,2,Arizona St.,College Stats
3,2019,2,36,Deebo Samuel\SamuDe00,WR,23,SFO,2019,2019,0,0,1,9,15,11,14,159,3,57,802,3,South Carolina,College Stats
4,2019,2,51,A.J. Brown\BrowAJ00,WR,22,TEN,2019,2019,0,0,1,10,16,11,3,60,1,52,1051,8,Mississippi,College Stats
5,2019,2,56,Mecole Hardman\HardMe00,WR,21,KAN,2019,2019,0,1,0,7,16,5,4,17,0,26,538,6,Georgia,College Stats
6,2019,2,57,JJ Arcega-Whiteside\ArceJJ00,WR,22,PHI,2019,2019,0,0,0,1,16,5,,,,10,169,1,Stanford,College Stats
7,2019,2,59,Parris Campbell\CampPa00,WR,22,IND,2019,2019,0,0,0,1,7,3,4,34,0,18,127,1,Ohio St.,College Stats
8,2019,2,62,Andy Isabella\IsabAn00,WR,22,ARI,2019,2019,0,0,0,2,15,1,4,15,0,9,189,1,Massachusetts,College Stats
9,2019,2,64,D.K. Metcalf\MetcDK00,WR,21,SEA,2019,2019,0,0,1,8,16,15,2,11,0,58,900,7,Mississippi,College Stats
10,2019,3,66,Diontae Johnson\JohnDi01,WR,23,PIT,2019,2019,0,0,1,6,16,12,4,41,0,59,680,5,Toledo,College Stats
11,2019,3,67,Jalen Hurd\HurdJa00,WR,23,SFO,,,0,0,0,,,,,,,,,,Baylor,College Stats
12,2019,3,76,Terry McLaurin\McLaTe00,WR,23,WAS,2019,2019,0,0,1,7,14,14,,,,58,919,7,Ohio St.,College Stats
13,2019,3,93,Miles Boykin\BoykMi00,WR,22,BAL,2019,2019,0,0,1,3,16,11,,,,13,198,3,Notre Dame,College Stats
14,2019,4,103,Hakeem Butler\ButlHa00,WR,23,ARI,,,0,0,0,,,,,,,,,,Iowa St.,College Stats
15,2019,4,120,Gary Jennings\JennGa00,WR,22,SEA,2019,2019,0,0,0,0,1,0,,,,,,,West Virginia,College Stats
16,2019,4,126,Riley Ridley\RidlRi00,WR,23,CHI,2019,2019,0,0,0,1,5,0,,,,6,69,0,Georgia,College Stats
17,2019,5,149,Hunter Renfrow\RenfHu00,WR,23,OAK,2019,2019,0,0,0,4,13,4,,,,49,605,4,Clemson,College Stats
18,2019,5,171,Darius Slayton\SlayDa01,WR,22,NYG,2019,2019,0,0,1,6,14,9,,,,48,740,8,Auburn,College Stats
19,2019,6,174,KeeSean Johnson\JohnKe07,WR,22,ARI,2019,2019,0,0,0,2,10,4,1,3,0,21,187,1,Fresno St.,College Stats
20,2019,6,184,Travis Fulgham\FulgTr00,WR,23,DET,2019,2019,0,0,0,0,3,0,,,,,,,Old Dominion,College Stats
21,2019,6,187,Juwann Winfree\WinfJu00,WR,23,DEN,2019,2019,0,0,0,0,3,0,,,,,,,Colorado,College Stats
22,2019,6,203,Marcus Green\GreeMa02,WR,23,ATL,,,0,0,0,,,,,,,,,,La-Monroe,College Stats
23,2019,6,206,Kelvin Harmon\HarmKe00,WR,22,WAS,2019,2019,0,0,1,3,16,8,,,,30,365,0,North Carolina St.,College Stats
24,2019,6,208,Scott Miller\MillSc01,WR,22,TAM,2019,2019,0,0,0,2,10,2,2,16,0,13,200,1,Bowling Green,College Stats
25,2019,7,236,John Ursua\UrsuJo00,WR,25,SEA,2019,2019,0,0,0,0,3,0,,,,1,11,0,Hawaii,College Stats
26,2019,7,237,Terry Godwin\GodwTe00,WR,22,CAR,,,0,0,0,,,,,,,,,,Georgia,College Stats
27,2019,7,239,Dillon Mitchell\MitcDi00,WR,22,MIN,,,0,0,0,,,,,,,,,,Oregon,College Stats
28,2019,7,247,Olabisi Johnson\JohnOl00,WR,22,MIN,2019,2019,0,0,0,3,16,6,1,6,0,31,294,3,Colorado St.,College Stats
29,2018,1,24,D.J. Moore\MoorD.00,WR,21,CAR,2018,2019,0,0,2,16,31,25,19,212,0,142,1963,6,Maryland,College Stats
30,2018,1,26,Calvin Ridley\RidlCa00,WR,23,ATL,2018,2019,0,0,1,14,29,15,8,61,0,127,1687,17,Alabama,College Stats
31,2018,2,40,Courtland Sutton\SuttCo00,WR,22,DEN,2018,2019,0,1,1,14,32,23,4,16,0,114,1816,10,SMU,College Stats
32,2018,2,44,Dante Pettis\PettDa00,WR,22,SFO,2018,2019,0,0,0,4,23,11,1,-2,0,38,576,7,Washington,College Stats
33,2018,2,47,Christian Kirk\KirkCh01,WR,21,ARI,2018,2019,0,0,2,11,25,20,13,128,0,111,1299,6,Texas A&M,College Stats
34,2018,2,51,Anthony Miller\MillAn02,WR,23,CHI,2018,2019,0,0,1,9,31,11,7,25,0,85,1079,9,Memphis,College Stats
35,2018,2,60,James Washington\WashJa00,WR,22,PIT,2018,2019,0,0,1,8,29,16,,,,60,952,4,Oklahoma St.,College Stats
36,2018,2,61,DJ Chark\CharDJ00,WR,21,JAX,2018,2019,0,1,1,8,26,14,2,20,0,87,1182,8,LSU,College Stats
37,2018,3,81,Michael Gallup\GallMi00,WR,22,DAL,2018,2019,0,0,2,13,30,20,,,,99,1614,8,Colorado St.,College Stats
38,2018,3,91,Tre'Quan Smith\SmitTr03,WR,22,NOR,2018,2019,0,0,2,7,26,13,,,,46,661,10,Central Florida,College Stats
39,2018,4,103,Keke Coutee\CoutKe00,WR,21,HOU,2018,2019,0,0,0,5,15,6,5,14,1,50,541,1,Texas Tech,College Stats
40,2018,4,105,Antonio Callaway\CallAn00,WR,21,CLE,2018,2019,0,0,1,5,20,13,2,7,0,51,675,5,Florida,College Stats
41,2018,4,113,DaeSean Hamilton\HamiDa01,WR,23,DEN,2018,2019,0,0,0,4,30,7,,,,58,540,3,Penn St.,College Stats
42,2018,4,132,Jaleel Scott\ScotJa02,WR,23,BAL,2019,2019,0,0,0,0,3,0,,,,1,6,0,New Mexico St.,College Stats
43,2018,4,133,J'Mon Moore\MoorJM00,WR,23,GNB,2018,2018,0,0,0,0,12,0,,,,2,15,0,Missouri,College Stats
44,2018,5,144,Justin Watson\WatsJu01,WR,23,TAM,2018,2019,0,0,0,1,28,2,,,,16,164,2,Pennsylvania,
45,2018,5,159,Daurice Fountain\FounDa00,WR,22,IND,2018,2018,0,0,0,0,1,0,,,,,,,Northern Iowa,
46,2018,5,162,Jordan Lasley\LaslJo00,WR,21,BAL,,,0,0,0,,,,,,,,,,UCLA,College Stats
47,2018,5,174,Marquez Valdes-Scantling\ValdMa00,WR,23,GNB,2018,2019,0,0,2,8,32,20,4,38,0,64,1033,4,South Florida,College Stats
